Week 12
time,activity,notes
-9/12/21
14:15,nap start,
14:49,nap end,
15:30,feed,
17:15,nap start,
17:49,nap end,
18:15,feed,
19:45,nap,
21:00,sleep
3:00,feed,
-9/13/21
6:00,awake,
6:00,feed,
6:15,poop,
7:30,nap start,
8:00,nap end,
8:40,bottle,2.5 oz
9:00,pump, 3oz
9:40,nap start,
10:15,nap end,
10:40,bottle,3 oz
11:10,pump,3 oz
11:50,nap start,
12:30,nap end,
13:00,pump, 2oz
13:05,bottle,3 oz
13:55,nap start,
14:15,nap end,
14:25,nap start,
14:45,nap end,
15:00,pump,2 oz 
15:20,bottle,3 oz
16:45,nap start,
17:15,nap end,
17:40,feed, 
18:05,poop,
18:30,shower,massage play
19:30,sleep, 
21:00,pump,2.5 oz for PM bottle 
-9/14/2021
1:15,feed,
5:41,feed,
6:25,awake,
7:30,nap start,
8:25,nap end,
8:40,bottle,2 oz bm 1 oz formula 
9:15,pump,3oz
9:50,nap start,
10:25,nap end,
10:50,bottle,2 oz bm 1 oz formula
11:05,pump,2.5 oz
11:25,bottle,1 oz bm
12:10,nap start,
12:45,nap end,
13:00,pump,2oz
13:20,bottle,3.5 oz bm
14:25,nap start,
14:55,nap end,
15:05,pump,2oz
15:20,bottle,3 oz bm 1 oz formula 
16:40,nap start,
17:05,nap end,
17:30,feed,
19:30,feed,
20:15,sleep,
-9/15/2021
2:45,feed,
6:10,poop,
6:35,feed,
6:35,awake,
7:45,nap start,
8:25,nap end,
8:30,poop,
9:00,bottle,3 oz bm 1 oz f
9:00,pump,2.5oz 
10:30,nap start,
11:10,pump,2.5oz
11:30,nap end,
11:35,bottle,3 oz bm 1 oz f + 1 oz f
13:05,pump,2oz
13:20,nap start,
14:10,nap end,
14:10,bottle,3 oz bm 1 oz f
15:20,pump,2.5 oz
15:30,poop,
15:55,nap start,
16:40,nap end,
17:15,feed,
19:00,catnap,
19:20,shower,
20:00,feed,
20:20,bedtime
-9/16/21
2:00,bottle,3 oz bm
2:20,feed,R12
5:55,feed,
6:40,awake,
7:30,nap start,
8:30,nap end,
8:45,feed,
10:20,nap start,
11:05,nap end,
11:15,feed,
13:00,nap start,
13:35,nap end,
14:00,feed,
15:30,nap start, 
16:40,nap end,
16:50,feed, 
18:15,bath,
19:10, feed
19:45,sleep,
-9/17/21
2:05,feed,
6:00,feed,
6:30,awake,
6:40,poop,
7:45,nap start,
8:30,nap end,
8:45,bottle,3oz bm 1 oz f
9:20,pump,3oz
10:00,nap start,
10:45,nap end,
11:05,bottle,3 oz bm 2 oz f (4 oz drank)
12:00,pump,2.5oz
12:15,nap start,
13:00,nap end,
13:25,bottle,3oz bm 1 oz f
14:00,pump,1.5oz
14:25,nap start,
15:15,nap end,
15:40,bottle,3oz bm 1 oz f
16:15, pump,3oz
16:50,nap start,
17:25,nap end,
18:15,feed,
18:45,poop,
18:45,bath,
19:25,small feed,
20:15,sleep,
23:45,bottle,3 oz
-9/18/21
3:30,feed,
6:19,feed,
6:19,awake,
7:45,nap begin,
8:00,nap end,
9:00,feed,
10:00,nap start,
11:40,nap end,
12:15,feed,
14:20,feed
15:30,nap begin,
